         17128 function calls (16968 primitive calls) in 88.684 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      758    0.000    0.000    0.002    0.000 encoder.py:414(_iterencode)
       20    0.002    0.000    0.002    0.000 {built-in method sys.getwindowsversion}
       10    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
        8    0.000    0.000    0.002    0.000 __init__.py:1686(handle)
      228    0.001    0.000    0.002    0.000 <frozen os>:680(__getitem__)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        8    0.000    0.000    0.002    0.000 __init__.py:1746(callHandlers)
      758    0.001    0.000    0.002    0.000 encoder.py:278(_iterencode_list)
       30    0.000    0.000    0.002    0.000 pool.py:333(_maintain_pool)
       16    0.000    0.000    0.002    0.000 __init__.py:1011(handle)
       36    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       30    0.000    0.000    0.002    0.000 pool.py:289(_join_exited_workers)
        8    0.000    0.000    0.002    0.000 _parser.py:969(parse)
       15    0.000    0.000    0.002    0.000 connection.py:202(send)
       16    0.000    0.000    0.002    0.000 __init__.py:1148(emit)
      124    0.000    0.000    0.002    0.000 process.py:224(exitcode)
     10/8    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
     15/8    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
       52    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      134    0.000    0.000    0.001    0.000 popen_spawn_win32.py:121(poll)
     10/8    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.001    0.001 __init__.py:174(search)
        8    0.000    0.000    0.001    0.000 _compiler.py:511(_compile_info)
       16    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 run.py:52(load_stopwords)
      228    0.001    0.000    0.001    0.000 <frozen os>:754(encodekey)
        1    0.000    0.000    0.001    0.001 vocabulary_builder.py:10(add_text)
       20    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
        3    0.000    0.000    0.001    0.000 connection.py:551(Pipe)
        8    0.000    0.000    0.001    0.000 __init__.py:1266(emit)
  113/110    0.001    0.000    0.001    0.000 {built-in method _winapi.ReadFile}
       25    0.000    0.000    0.001    0.000 vocabulary_builder.py:19(_is_arabic_word)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
      752    0.001    0.000    0.001    0.000 encoder.py:334(_iterencode_dict)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
       25    0.000    0.000    0.001    0.000 __init__.py:169(fullmatch)
        1    0.000    0.000    0.001    0.001 __base.py:75(_check_toolkit_binaries)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       17    0.000    0.000    0.001    0.000 pathlib.py:437(__str__)
        7    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.001    0.000 threading.py:637(wait)
        5    0.000    0.000    0.001    0.000 pathlib.py:835(stat)
       16    0.000    0.000    0.001    0.000 __init__.py:988(format)
       13    0.000    0.000    0.001    0.000 pathlib.py:551(drive)
        3    0.000    0.000    0.001    0.000 threading.py:973(start)
       16    0.000    0.000    0.001    0.000 connection.py:1160(reduce_pipe_connection)
       16    0.000    0.000    0.001    0.000 __init__.py:690(format)
       17    0.000    0.000    0.001    0.000 pathlib.py:1157(__init__)
        4    0.000    0.000    0.001    0.000 pathlib.py:886(is_file)
        8    0.000    0.000    0.001    0.000 __init__.py:1645(makeRecord)
       12    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
        4    0.000    0.000    0.001    0.000 threading.py:616(set)
        4    0.000    0.000    0.001    0.000 process.py:128(terminate)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       30    0.000    0.000    0.001    0.000 pool.py:284(_get_worker_sentinels)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
       28    0.000    0.000    0.001    0.000 reduction.py:38(__init__)
       17    0.001    0.000    0.001    0.000 pathlib.py:358(__init__)
        8    0.000    0.000    0.001    0.000 __init__.py:298(__init__)
        1    0.000    0.000    0.001    0.001 run.py:67(filter_stopwords)
        4    0.000    0.000    0.001    0.000 popen_spawn_win32.py:124(terminate)
      772    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.001    0.000 pathlib.py:447(__fspath__)
        4    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
     1230    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       20    0.000    0.000    0.001    0.000 connection.py:284(_send_bytes)
        4    0.000    0.000    0.001    0.000 threading.py:424(notify_all)
        3    0.000    0.000    0.001    0.000 connection.py:70(arbitrary_address)
        4    0.000    0.000    0.001    0.000 threading.py:394(notify)
    41/39    0.001    0.000    0.001    0.000 {built-in method _winapi.PeekNamedPipe}
       71    0.001    0.000    0.001    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
        3    0.000    0.000    0.001    0.000 tempfile.py:400(mktemp)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       16    0.000    0.000    0.001    0.000 __init__.py:1137(flush)
        1    0.000    0.000    0.001    0.001 spawn.py:1(<module>)
      361    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.001    0.001 pool.py:767(get)
        1    0.000    0.000    0.001    0.001 pool.py:764(wait)
      232    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
        5    0.000    0.000    0.001    0.000 queues.py:391(put)
       40    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
        8    0.000    0.000    0.000    0.000 __init__.py:1611(findCaller)
       12    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
       16    0.000    0.000    0.000    0.000 reduction.py:106(__init__)
       12    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        4    0.000    0.000    0.000    0.000 threading.py:323(wait)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
       16    0.000    0.000    0.000    0.000 __init__.py:622(formatTime)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  136/133    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
      228    0.000    0.000    0.000    0.000 <frozen os>:748(check_str)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
       16    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      240    0.000    0.000    0.000    0.000 process.py:247(sentinel)
